id,name
8926,生态地质调查
8927,矿产地质勘查
8928,煤田地质勘查
406,岩矿分析与鉴定
407,宝玉石鉴定与加工
409,工程地质勘查
410,水文与工程地质
412,矿山地质
8929,钻探工程技术
416,岩土工程技术
413,地球物理勘探技术
414,地质灾害调查与防治
415,环境地质工程
8930,城市地质勘查
417,工程测量技术
419,测绘工程技术
420,测绘地理信息技术
418,摄影测量与遥感技术
421,地籍测绘与土地管理
8931,国土空间规划与测绘
8932,无人机测绘技术
422,矿山测量
424,导航与位置服务
8933,空间数字建模与应用技术
430,油气储运技术
431,油气地质勘探技术
428,钻井技术
8934,油气智能开采技术
432,油田化学应用技术
433,石油工程技术
9151,煤矿智能开采技术
8935,矿井建设工程技术
8936,通风技术与安全管理
9152,矿山机电与智能装备
9153,煤炭清洁利用技术
442,煤层气采输技术
9154,矿山智能开采技术
445,矿物加工技术
447,大气科学技术
448,大气探测技术
449,应用气象技术
8937,雷电防护技术
9155,环境监测技术
454,环境工程技术
8938,生态保护技术
8939,生态环境大数据技术
9156,环境管理与评价
8940,生态环境修复技术
8941,绿色低碳技术
8942,资源综合利用技术
1299,水净化与安全技术
456,核与辐射检测防护技术
8943,智能环保装备技术
465,安全技术与管理
463,化工安全技术
466,工程安全评价与监理
8944,安全智能监测技术
8945,应急救援技术
8946,消防救援技术
8947,森林草原防火技术
9157,职业健康安全技术
469,发电厂及电力系统
474,水电站机电设备与自动化
8948,水电站与电力网技术
8949,分布式发电与智能微电网技术
471,电力系统自动化技术
8950,电力系统继电保护技术
8951,输配电工程技术
470,供用电技术
479,农业电气化技术
1300,机场电工技术
476,电力客户服务与管理
8952,热能动力工程技术
482,城市热能应用技术
8953,地热开发技术
493,太阳能光热技术与应用
8954,发电运行技术
8955,热工自动化技术
483,核电站动力设备运行与维护
485,电厂化学与环保技术
780,光伏工程技术
487,风力发电工程技术
489,生物质能应用技术
8554,氢能技术应用
491,工业节能技术
492,节电技术与管理
8956,新能源材料应用技术
8957,钢铁智能冶金技术
8958,智能轧钢技术
8959,钢铁冶金设备维护
9158,金属材料检测技术
9159,有色金属智能冶金技术
8960,金属智能加工技术
503,金属精密成型技术
1301,储能材料技术
8961,稀土材料技术
504,材料工程技术
9160,高分子材料智能制造技术
8962,复合材料智能制造技术
8963,航空复合材料成型与加工技术
507,非金属矿物材料技术
508,光伏材料制备技术
510,硅材料制备技术
8964,炭材料工程技术
8965,橡胶智能制造技术
512,建筑材料工程技术
516,新型建筑材料技术
514,建筑装饰材料技术
513,建筑材料检测技术
8966,装配式建筑构件智能制造技术
518,建筑设计
519,建筑装饰工程技术
520,古建筑工程技术
523,园林工程技术
522,风景园林设计
521,建筑室内设计
8967,建筑动画技术
8968,智慧城市管理技术
526,村镇建设与管理
528,建筑工程技术
8969,装配式建筑工程技术
531,建筑钢结构工程技术
8970,智能建造技术
529,地下与隧道工程技术
530,土木工程检测技术
532,建筑设备工程技术
534,建筑电气工程技术
533,供热通风与空调工程技术
535,建筑智能化工程技术
536,工业设备安装工程技术
8971,建筑消防技术
538,建设工程管理
8972,建筑经济信息化管理
542,建设工程监理
543,市政工程技术
545,给排水工程技术
544,城市燃气工程技术
8973,市政管网智能检测与维护
8974,城市环境工程技术
547,房地产经营与管理
8975,房地产智能检测与估价
8976,现代物业管理
8977,水文与水资源技术
552,水政水资源管理
553,水利工程
8978,智慧水利技术
554,水利水电工程技术
8979,水利水电工程智能管理
556,水利水电建筑工程
557,机电排灌工程技术
8980,治河与航道工程技术
8981,智能水务管理
8982,水电站设备安装与管理
8983,水电站运行与智能管理
8984,水利机电设备智能管理
564,水土保持技术
8985,水环境智能监测与治理
8986,水生态修复技术
566,机械设计与制造
8987,数字化设计与制造技术
568,数控技术
9161,机械制造及自动化
584,工业工程技术
9162,材料成型及控制技术
8988,现代铸造技术
8989,现代锻压技术
8990,智能焊接技术
8991,工业材料表面处理技术
8992,增材制造技术
578,模具设计与制造
570,特种加工技术
8993,智能光电制造技术
