" {""0"": ""4.2"", ""1"": ""4.1"", ""2"": ""4.1"", ""5"": ""4.4""}",北京协和医学院,573
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.5"", ""5"": ""4.4""}",天津大学,60
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.5"", ""5"": ""4.4""}",山东大学,126
" {""0"": ""4.6"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.6""}",中南大学,123
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.6""}",厦门大学,102
" {""0"": ""4.8"", ""1"": ""5.0"", ""2"": ""4.5"", ""5"": ""5.0""}",西北工业大学,107
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.5""}",华南理工大学,105
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.5""}",吉林大学,122
" {""0"": ""4.6"", ""1"": ""4.7"", ""2"": ""4.4"", ""5"": ""4.6""}",电子科技大学,661
" {""0"": ""4.4"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.4""}",湖南大学,44
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",中国农业大学,557
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.5"", ""5"": ""4.5""}",华东师范大学,131
" {""0"": ""4.3"", ""1"": ""4.5"", ""2"": ""4.3"", ""5"": ""4.2""}",大连理工大学,138
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",南方科技大学,2941
" {""0"": ""4.6"", ""1"": ""4.7"", ""2"": ""4.8"", ""5"": ""4.2""}",重庆大学,119
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.5""}",上海财经大学,130
" {""0"": ""4.5"", ""1"": ""4.4"", ""2"": ""4.5"", ""5"": ""4.6""}",北京科技大学,144
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.5"", ""5"": ""4.4""}",南京理工大学,112
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.4""}",南京航空航天大学,77
" {""0"": ""4.0"", ""1"": ""4.0"", ""2"": ""4.0"", ""5"": ""4.0""}",东北大学,134
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.5"", ""5"": ""4.5""}",西安电子科技大学,57
" {""0"": ""4.4"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.4""}",兰州大学,97
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.5""}",苏州大学,118
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.4"", ""5"": ""4.4""}",华中农业大学,417
" {""0"": ""4.4"", ""1"": ""4.5"", ""2"": ""4.4"", ""5"": ""4.4""}",北京交通大学,38
" {""0"": ""4.4"", ""1"": ""4.3"", ""2"": ""4.5"", ""5"": ""4.5""}",华东理工大学,133
" {""0"": ""4.1"", ""1"": ""4.1"", ""2"": ""4.2"", ""5"": ""4.0""}",上海科技大学,3151
" {""0"": ""4.5"", ""1"": ""4.5"", ""2"": ""4.5"", ""5"": ""4.5""}",首都医科大学,584
" {""0"": ""4.5"", ""1"": ""4.7"", ""2"": ""4.2"", ""5"": ""4.5""}",郑州大学,62
" {""0"": ""4.6"", ""1"": ""4.5"", ""2"": ""4.6"", ""5"": ""4.7""}",中央财经大学,566
" {""0"": ""4.4"", ""1"": ""4.4"", ""2"": ""4.5"", ""5"": ""4.3""}",华中师范大学,420
" {""0"": ""4.5"", ""1"": ""4.6"", ""2"": ""4.6"", ""5"": ""4.4""}",南京医科大学,168
